,Customer ID,Food ID,First Name,Last Name,Gender,Food Item,Price
90,3,2,Roger,Black,Male,Burrito,9.99
97,10,2,Steven,Ryan,Male,Burrito,9.99
60,20,1,Lisa,Rice,Female,Sushi,3.99
45,21,4,Albert,Burns,Male,Quesadilla,4.25
19,26,9,Michelle,Kelly,Female,Donut,0.99
87,30,2,Pamela,Hicks,Female,Burrito,9.99
51,38,4,Anthony,Flores,Male,Quesadilla,4.25
219,45,7,Earl,Marshall,Male,Steak,24.99
123,47,8,Louise,Collins,Female,Salad,11.25
95,51,2,Gloria,Kelly,Female,Burrito,9.99
241,51,10,Gloria,Kelly,Female,Drink,1.75
105,53,2,Ruby,Phillips,Female,Burrito,9.99
52,62,4,Andrew,Tucker,Male,Quesadilla,4.25
144,62,5,Andrew,Tucker,Male,Pizza,2.49
180,63,6,Mildred,Hamilton,Female,Pasta,13.99
238,64,10,Beverly,Reed,Female,Drink,1.75
224,67,7,Donna,Cunningham,Female,Steak,24.99
177,68,6,Paul,Dunn,Male,Pasta,13.99
148,71,3,Carolyn,Reyes,Female,Taco,2.99
107,71,8,Carolyn,Reyes,Female,Salad,11.25
70,74,1,Randy,Armstrong,Male,Sushi,3.99
173,75,6,Catherine,Carpenter,Female,Pasta,13.99
61,77,1,Lori,Edwards,Female,Sushi,3.99
84,77,2,Lori,Edwards,Female,Burrito,9.99
5,77,9,Lori,Edwards,Female,Donut,0.99
200,78,7,Robert,Kennedy,Male,Steak,24.99
93,80,2,George,Mason,Male,Burrito,9.99
124,91,8,Theresa,Adams,Female,Salad,11.25
78,92,1,Justin,Roberts,Male,Sushi,3.99
163,93,3,Melissa,Mcdonald,Female,Taco,2.99
35,97,4,Amanda,Watkins,Female,Quesadilla,4.25
62,100,1,Lois,Howard,Female,Sushi,3.99
40,100,4,Lois,Howard,Female,Quesadilla,4.25
205,100,7,Lois,Howard,Female,Steak,24.99
199,101,7,Jeremy,Nelson,Male,Steak,24.99
99,107,2,Melissa,Johnston,Female,Burrito,9.99
156,108,3,Adam,Ferguson,Male,Taco,2.99
115,110,8,Randy,Fuller,Male,Salad,11.25
136,114,5,Anne,Webb,Female,Pizza,2.49
133,117,5,Shawn,Green,Male,Pizza,2.49
153,121,3,Keith,Thompson,Male,Taco,2.99
194,123,6,Craig,Cruz,Male,Pasta,13.99
170,134,3,Diana,Hall,Female,Taco,2.99
50,138,4,George,Fisher,Male,Quesadilla,4.25
120,140,8,Paula,West,Female,Salad,11.25
89,144,2,Jerry,Owens,Male,Burrito,9.99
108,147,8,Theresa,Morales,Female,Salad,11.25
3,147,9,Theresa,Morales,Female,Donut,0.99
146,148,5,Patricia,Reid,Female,Pizza,2.49
37,149,4,Jennifer,Oliver,Female,Quesadilla,4.25
248,151,10,Brandon,Oliver,Male,Drink,1.75
57,155,1,Carolyn,Diaz,Female,Sushi,3.99
1,155,9,Carolyn,Diaz,Female,Donut,0.99
176,159,6,Mary,Black,Female,Pasta,13.99
134,160,5,Alice,Sims,Female,Pizza,2.49
76,163,1,Lisa,Palmer,Female,Sushi,3.99
26,167,9,Joe,Duncan,Male,Donut,0.99
149,174,3,Anna,Miller,Female,Taco,2.99
167,184,3,Jesse,Edwards,Male,Taco,2.99
41,189,4,Roger,Gordon,Male,Quesadilla,4.25
75,190,1,Russell,Mccoy,Male,Sushi,3.99
24,190,9,Russell,Mccoy,Male,Donut,0.99
100,191,2,Harold,Washington,Male,Burrito,9.99
80,202,2,Louis,Campbell,Male,Burrito,9.99
83,203,2,Annie,Lane,Female,Burrito,9.99
152,203,3,Annie,Lane,Female,Taco,2.99
106,213,8,Keith,Foster,Male,Salad,11.25
244,225,10,Tammy,Hill,Female,Drink,1.75
151,226,3,George,Adams,Male,Taco,2.99
228,226,10,George,Adams,Male,Drink,1.75
161,233,3,Robin,Lopez,Female,Taco,2.99
94,244,2,Walter,Cruz,Male,Burrito,9.99
11,249,9,Anthony,Carpenter,Male,Donut,0.99
210,250,7,Scott,Stewart,Male,Steak,24.99
235,250,10,Scott,Stewart,Male,Drink,1.75
15,259,9,Janice,Wilson,Female,Donut,0.99
175,260,6,Tammy,Garcia,Female,Pasta,13.99
121,263,8,Larry,Hawkins,Male,Salad,11.25
203,264,7,Sean,Brown,Male,Steak,24.99
32,271,9,Beverly,Ward,Female,Donut,0.99
247,274,10,Gary,Reid,Male,Drink,1.75
212,282,7,Lawrence,Gutierrez,Male,Steak,24.99
81,288,2,Kenneth,Jackson,Male,Burrito,9.99
204,290,7,Patrick,James,Male,Steak,24.99
7,296,9,Willie,Hughes,Male,Donut,0.99
85,304,2,Margaret,Cruz,Female,Burrito,9.99
155,304,3,Margaret,Cruz,Female,Taco,2.99
29,307,9,Lori,Washington,Female,Donut,0.99
73,310,1,Bobby,Sims,Male,Sushi,3.99
102,310,2,Bobby,Sims,Male,Burrito,9.99
23,313,9,Harry,Gomez,Male,Donut,0.99
42,315,4,Frank,Garza,Male,Quesadilla,4.25
18,319,9,Catherine,Schmidt,Female,Donut,0.99
77,321,1,Beverly,Fuller,Female,Sushi,3.99
66,323,1,Julie,Edwards,Female,Sushi,3.99
182,327,6,Deborah,Franklin,Female,Pasta,13.99
109,329,8,Amanda,Nguyen,Female,Salad,11.25
101,331,2,Eric,Elliott,Male,Burrito,9.99
165,331,3,Eric,Elliott,Male,Taco,2.99
